name,tournaments,rating
alex_1987,1,2186
alex_slow,1,2331
alex123a,1,1414
alexmdaniel ,1,1700
algeochamp07,1,1758
aliquantus ,1,2205
almyk,1,1604
aln276,1,2030
AlternativeFork,1,1952
amacy ,1,1157
Ambite,1,1842
Anders_son,1,1954
Andysctu,1,1693
angborxley ,1,1643
Angstschreeuw,1,1856
AnikiaN ,1,1946
Anjablaserr,1,2100
anjumskhan,1,2013
anna_nass,1,2106
apetresc,1,1579
arbisto ,1,2043
areeckx,1,1418
arielmendezp,1,1689
arjunbeatu,1,1842
Armasfoster,1,1650
arsenalfanrichi,1,1843
ArtesMagae,1,1614
ashishacharya,1,2039
asifmallik,1,1634
Ask_The_Dust,1,1801
assblastingarconson,1,2018
Assios,1,2200
Atrophied ,1,2269
auroach,1,1638
auroach ,1,1638
autotelic,1,2011
avelez8,1,1841
Axp156 ,1,2002
azuaga,1,2108
B_Sharp,1,1550
badatblitz,1,1943
Bamabeeblebrox,1,1685
Bamboos,1,1608
BarbarAusBielefeld,1,1498
Bardu,1,1561
barry_stipplebanger ,1,1791
bbutch,1,1774
be0wulf,1,1954
beauvain,1,2530
beaverhatbob,1,1422
Becher19,1,1842
beeeeck,1,2008
Beelzebrox ,1,1853
Bektas,1,1989
ben_dubuque ,1,1692
BenkoHater,1,2269
beourchess,1,1694
BigMeesh13,1,1872
bigott,1,1900
bill_gates ,1,1862
Blekinge,1,1838
BloodyFox,1,2058
BloodyFox ,1,1986
blue_cactus,1,1692
bluebird26,1,1856
Bmoney_o,1,1980
bobwooster,1,1933
bodhmall,1,2162
bojans_88,1,2083
bosspotato,1,2243
brainyack,1,1899
braoncek,1,1444
BraydonP,1,1945
BraydonP ,1,1943
brianmcdonald,1,2053
brilliantBlunder,1,1508
bromin,1,1955
brwnbr,1,1726
bungalowboi,1,1587
buubble,1,1390
bward10,1,1448
C4_ExplosiveMove,1,1763
camcam52,1,1881
cameronbird,1,1772
CamLeslie,1,2197
Capablancian,1,1799
CaptNCarter ,1,1872
CarbyPls,1,1651
carc ,1,2204
CarlosSilva96,1,2065
Ceedee,1,1705
Ceedee ,1,1654
Ceramic,1,1489
Ceramic ,1,1451
cftsoc3,1,1928
ChadPenguin,1,1881
chatakkuma,1,1858
CheapEndgameTricks,1,1659
cheese111,1,2290
chennis ,1,1934
chessanalyst ,1,1971
ChessAndCoffee,1,1720
chesshavoc,1,1830
chesspastamasta,1,1959
chesspibito,1,1718
chessryo,1,2081
ChiggySmalls,1,1762
Chuck_AOE,1,1638
ChukoDiman,1,1557
citayo,1,1919
cjmccaffrey,1,1828
Cleave,1,1813
closed_guard,1,1480
cluffas,1,2016
cnbuff410,1,1660
CoachAleks,1,1967
coldgreenII,1,1874
compost83,1,1564
coolalzi ,1,1802
cpapa14,1,1502
cptkirchhoff ,1,1706
Criclom,1,1531
CriticalThinker,1,1724
crunchyalex ,1,1959
CSU_Dynasty,1,1963
CubesAndPi ,1,1884
cubra,1,1815
cvillian,1,1930
cyanfish ,1,2129
cybercapitalist,1,1276
DAAL,1,1331
Dangerously_average,1,1686
Daniel1802b,1,1872
dank-chessessities,1,1433
DannyKong,1,1867
darksquaregames,1,2458
darobertson,1,1606
DasGuntLord01,1,1446
dauthdaert ,1,1944
davejishnu,1,1851
david252525 ,1,2126
Dazzles,1,1740
deaarthur ,1,1183
dean7777777,1,1846
deanmadden,1,1567
deep_glue,1,1746
Deerack,1,1697
DefinitelyNotAlekhsi,1,1947
dek,1,1975
DerDoin,1,1517
Derked,1,1499
desertMouse,1,1698
DETERMINATION,1,2398
dgees,1,2041
diamanthori,1,1843
dimasikson,1,1699
Dimesocket,1,1797
dimitris22,1,1823
DirtyJs,1,1847
Disastronaut,1,1980
DiscoverChex,1,1681
DK_Chess,1,1862
dlgabriel,1,1458
dmavro ,1,1753
doberm4n ,1,1811
Doevert,1,1653
Domg,1,1619
Dontreadthis,1,1808
dooje,1,1666
dorjanel,1,1874
DracoxVitae ,1,1812
Dram04,1,1671
DrOMM,1,1723
Dubarnik,1,1459
ducksss,1,1171
dystopia753,1,1681
DzeiTi,1,2101
Dzoniak ,1,1574
eaguiraud,1,2329
eamonmont,1,2064
ebrankoftis,1,1791
ebrankoftis ,1,1791
ed84 ,1,1762
Edwarde,1,1828
egnyte ,1,1832
egocrusher,1,1919
egonsanc,1,1846
ekopp2000,1,1757
elbegelbe,1,1799
elipw,1,1732
ElJefe08,1,1527
elusiveness,1,1591
ematthie,1,1499
ematthie ,1,1508
EmptySet2 ,1,1837
EmreA ,1,1398
end1dream,1,1948
enfor450,1,1432
Enisswift,1,1703
Ericasp,1,1605
ErinYu ,1,2264
escabeche,1,1871
f1nn33 ,1,1988
Fabinou ,1,2307
FakeEmperor,1,1788
Felipekaox,1,1646
FelixNL,1,2297
Fellwind,1,2130
figeon,1,1712
finlip,1,1965
Finneri ,1,2001
FischersOfMen ,1,1818
fisher56 ,1,1944
fismoluni,1,1695
fittyZ,1,1597
FiveKnights ,1,1845
flamehead,1,1890
flayer0,1,1419
Flolam ,1,1606
FollowTheWhiteRabbit,1,2227
ForkerofQueens,1,1877
foulmouthmatt,1,1543
fourtwenty,1,1361
FracPhilo,1,1395
Fritz702,1,2102
Fritzmann,1,1610
frogger,1,2014
furrykef,1,1643
GardenPlant,1,1504
Gary_Blackwood,1,1858
gattican,1,1814
gauravsinghmd,1,1925
GCEDW2001,1,1922
gehenna,1,1603
Gena84,1,1569
GeneralSpecific,1,1800
GERDie,1,1449
GetAGripWhitby ,1,1897
GGrkinic,1,2056
ghostologist,1,1556
ghostult,1,1689
giovanniarena,1,1861
Gitu,1,2114
givan,1,1554
Glad_He_Ate_Her ,1,1601
GlaisePapale,1,1631
GMPraveen,1,2267
god666 ,1,2202
gokuba ,1,1692
GoldenPepe,1,2035
Golodion ,1,2004
gorathger,1,2175
gotthatplymouthrock ,1,1424
GrahamParkerME,1,1825
Grando,1,1484
greenkingwashere,1,1573
greentiger,1,1700
Grimreepeer1,1,1314
grinnifwin,1,2073
Grizzhog,1,1526
Grizzzly1000,1,1957
GroneN,1,1891
GroneN ,1,2049
